state,gray,team1,team2,team3,w1,w2,w3,w_avg
AL,6.73,6.426155,6.34947245004486,6.3602640447815,0.021945866,0.0003125,0.0146238785190331,0.012294081506344368
AK,6.98,7.029238,6.8,6.90352152162108,0.01965996,0.0003125,0.012902891023281,0.010958450341093667
AZ,7.06,6.882834,6.9,6.89075117783541,0.022081179,0.0003125,0.0884917267902906,0.03696180193009687
AR,6.16,6.207871,6.2,6.21689513913785,0.023568277,0.0003125,0.011558005072019,0.011812927357339666
CA,7.24,7.278895,7.3,7.27889501297371,0.016241659,0.0003125,0.0122168141009824,0.009590324366994132
CO,4.5,4.912504,4.38741163628662,4.48364603323783,0.02372385,0.06,0.0136638870789128,0.03246257902630426
CT,6.31,6.342751,6.30021983088858,6.34275098005755,0.01110492,0.0003125,0.0123308238068813,0.007916081268960434
DE,6.72,6.598039,6.5,6.59803872541325,0.012041463,0.0003125,0.0275822738193795,0.013312078939793167
FL,6.13,6.046247,6.1,6.05632388896564,0.016910705,0.0003125,0.0199595404138396,0.012394248471279866
GA,8.29,7.958354,7.89615678089731,7.95835437027614,0.010486878,0.0003125,0.0290791374566772,0.013292838485559066
HI,4.19,4.103928,4.13402877628937,4.10392788508441,0.012781401,0.0003125,0.0136647706320158,0.008919557210671933
ID,4.48,4.627986,4.36627330022275,4.4393394140214,0.01866874,0.0003125,0.0112154884760202,0.010065576158673399
IL,6.28,6.539033,6.51635747960684,4.4393394140214,0.0138025,0.06,0.0112154884760202,0.028339329492006734
IN,5.77,5.598184,5.64896206501766,5.59818443759985,0.015069223,0.0003125,0.0360966498541986,0.017159457618066202
IA,4.63,4.618721,4.60519079530528,4.59929251323066,0.04588194,0.0003125,0.0295813350466834,0.0252585916822278
KS,4.87,4.764512,4.73980387234771,4.76451186581732,0.028404355,0.0003125,0.0146624000997947,0.014459751699931566
KY,6.57,6.141186,6.38519233374266,6.42138927055725,0.014714738,0.05,0.0134839594248132,0.026066232474937733
LA,6.32,6.309104,6.10408483079246,6.10225847622001,0.015087496,0.0003125,0,0.005133332
ME,5.71,5.599106,5.95998972802038,5.99474699532038,0.021676857,0.0003125,0.0127155474246161,0.011568301474872034
MD,6.64,6.356123,6.29820398069905,6.35612274615944,0.010365457,0.0003125,0.0183136575767783,0.009663871525592766
MA,6.03,5.952964,6.16298200925196,6.24766113001916,0.021503577,0.0003125,0.011507005477742,0.011107694159247332
MI,7.25,7.027713,7.05100374113012,6.89736436971022,0.014696058,0.0003125,0.0209226515747404,0.0119770698582468
MN,4.04,4.224708,3.96120040276097,3.94594730822665,0.02181734,0.0003125,0.0135631484213181,0.011897662807106033
MS,7.84,7.683147,7.63087753323717,7.59534741959385,0.018062723,0.0003125,0.100675671717871,0.03968363157262366
MO,6.2,6.263866,6.3,6.26386632932481,0.014670853,0.0003125,0.018261809986714,0.011081720995571332
MT,4.66,4.672419,4.6,4.67241894575557,0.029225274,0.0003125,0.0111123823309606,0.013550052110320199
NE,3.61,3.664734,3.6,3.66473401384212,0.029518868,0.0003125,0.0121184522731445,0.0139832734243815
NV,7.25,7.142998,7.03529352586278,7.10680055116012,0.01131368,0.0003125,0.0138180663726851,0.0084814154575617
NH,4.32,4.254413,4.3,4.25048855669164,0.021691604,0.0003125,0.0113334204910995,0.011112508163699833
NJ,6.42,6.569292,6.5,6.57574490395131,0.025473968,0.0003125,0.0127335336430616,0.0128400005476872
NM,6.7,6.591175,6.6,6.59117469310981,0.031770525,0.0003125,0.0122499882129828,0.014777671070994267
NY,6.14,6.259724,6.06154497327954,6.02616837431644,0.029165199,0.0003125,0.0137845975291438,0.014420765509714599
NC,6.86,6.747217,6.69755844139158,6.74721682268552,0.013899073,0.0003125,0.0268931509314218,0.013701574643807266
ND,2.89,2.769569,2.8,6.74721682268552,0.030156087,0.11,0.0268931509314218,0.05568307931047393
OH,5.72,5.549215,5.6,2.76956936046887,0.026752606,0.08,0.0112263043659525,0.039326303455317506
OK,4.74,4.748638,4.7,5.54921521527206,0.019891626,0.02,0.0293139566423162,0.023068527547438735
OR,7.21,7.22989,7.1,4.7486378465085,0.014829356,0.07,0.0336768635574874,0.039502073185829135
PA,5.8,5.729694,5.7,7.22989006615741,0.028776643,0.04,0.0132617247744843,0.027346122591494767
RI,7.35,7.543639,7.6,5.72969394639062,0.011695386,0.05,0.0200111364131982,0.027235507471066067
SC,6.94,6.629828,6.8540060586702,7.54363905816304,0.017408547,0.02,0.0109100437270338,0.01610619690901127
SD,3.31,3.423572,3.3070132072914,6.94717343859523,0.031233334,0.1,0.0149833351692175,0.0487388897230725
TN,7.74,7.250938,7.29755553644903,3.29305364823745,0.009274422,0.11,0.0134805986956245,0.04425167356520817
TX,5.28,5.228289,5.2,7.25093780379077,0.025031426,0.05,0.0143742747169505,0.029801900238983502
UT,3.48,3.459892,3.5,5.22828911954586,0.028295779,0.05,0.018856279215553,0.03238401940518434
VT,4.65,4.446606,4.64483846029924,3.48032001511694,0.019811546,0.03,0.0246416516239756,0.0248177325413252
VA,5.64,5.512799,5.5,4.67243234456436,0.012290765,0.02,0.0131569922661164,0.0151492524220388
WA,5.46,5.808835,5.78799826173248,5.51279860529008,0.014855302,0.0003125,0.0127214839297316,0.009296428643243867
WV,6.7,6.921641,6.6,5.80883456038717,0.019046922,0.03,0.012950722306211,0.020665881435403665
WI,5.56,5.413741,5.40066087493023,6.79488619498749,0.010405591,0.04,0.0143358154717653,0.021580468823921766
WY,5.02,4.790952,4.78336957824932,5.41374061644623,0.023218454,0.0003125,0.0328735121378375,0.0188014887126125
